academic_level,date,num_sessions,subject,session_duration_min,break_score,switch_score,deadline_weight,late_night,focus,fatigue,studied_today,duration_missing,cl_raw,cl_score,cl_bucket,total_time,long_session,avg_session_length,switch_rate,subject_cat,alert_rule
PG,2025-12-19,2.0,Coding,150.0,0.0,0.0,0.0,0,5,3,1,0,-2.0302341104340345,0.20619339823623728,low,150.0,1,75.0,0.0,0,False
PG,2025-12-19,1.0,Coding,70.0,0.0,0.0,0.0,0,1,4,1,0,2.109174624320084,0.8381419805291288,high,70.0,0,70.0,0.0,0,True
UG,2025-12-19,,Coding,,0.0,0.0,0.0,0,2,2,1,1,-0.7810403327516462,0.3969033008818814,low,0.0,0,0.0,0.0,0,False
PG,2025-12-19,2.0,Other,,0.0,0.0,0.0,0,4,3,1,1,-1.2604337515145334,0.32371603894174233,low,0.0,0,0.0,0.0,2,False
PG,2025-12-19,2.0,Coding,63.0,0.0,0.0,0.0,0,3,3,1,0,-0.49063339259503247,0.4412386796472475,low,63.0,0,31.5,0.0,0,False
PG,2025-12-19,2.0,Coding,260.0,0.0,0.0,0.0,0,4,4,1,0,-0.20022645243841886,0.48557405841261353,low,260.0,1,130.0,0.0,0,False
UG,2025-12-19,1.0,Coding,60.0,0.0,0.0,0.0,0,1,3,1,0,1.0489673252439695,0.6762839610582576,medium,60.0,0,60.0,0.0,0,False
UG,2025-12-19,1.0,Reading,150.0,0.0,0.0,0.0,0,1,3,1,0,1.0489673252439695,0.6762839610582576,medium,150.0,1,150.0,0.0,3,False
UG,2025-12-19,1.0,Other,60.0,0.0,0.0,0.0,0,1,5,1,0,3.169381923396199,1.0,high,60.0,0,60.0,0.0,2,True
UG,2025-12-19,2.0,Math,60.0,0.0,0.0,0.0,0,4,4,1,0,-0.20022645243841886,0.48557405841261353,low,60.0,0,30.0,0.0,1,False
UG,2025-12-19,2.0,Other,,0.0,0.0,0.0,0,2,3,1,1,0.2791669663244685,0.5587613203527526,medium,0.0,0,0.0,0.0,2,False
PG,2025-12-19,2.0,Reading,,0.0,0.0,0.0,0,4,2,1,1,-2.3206410505906483,0.16185801947087117,low,0.0,0,0.0,0.0,3,False
UG,2025-12-19,2.0,Coding,,0.0,0.0,0.0,0,4,4,1,1,-0.20022645243841886,0.48557405841261353,low,0.0,0,0.0,0.0,0,False
PG,2025-12-19,2.0,Coding,120.0,0.0,0.0,0.0,0,4,4,1,0,-0.20022645243841886,0.48557405841261353,low,120.0,1,60.0,0.0,0,False
PG,2025-12-19,1.0,Revision,150.0,0.0,0.0,0.0,0,5,3,1,0,-2.0302341104340345,0.20619339823623728,low,150.0,1,150.0,0.0,4,False
PG,2025-12-19,1.0,Coding,150.0,0.0,0.0,0.0,0,3,3,1,0,-0.49063339259503247,0.4412386796472475,low,150.0,1,150.0,0.0,0,False
PG,2025-12-19,1.0,Other,75.0,0.0,0.0,0.0,0,2,3,1,0,0.2791669663244685,0.5587613203527526,medium,75.0,0,75.0,0.0,2,False
UG,2025-12-19,2.0,Science,,0.0,0.0,0.0,0,1,4,1,1,2.109174624320084,0.8381419805291288,high,0.0,0,0.0,0.0,5,True
PG,2025-12-19,1.0,Math,150.0,0.0,0.0,0.0,0,4,1,1,0,-3.380848349666763,0.0,low,150.0,1,150.0,0.0,1,False
UG,2025-12-19,,,,0.0,0.0,0.0,0,3,4,0,1,0.5695739064810821,0.6030966991181186,medium,0.0,0,0.0,0.0,-1,True
UG,2025-12-19,2.0,Coding,120.0,0.0,0.0,0.0,0,2,4,1,0,1.3393742654005831,0.7206193398236237,medium,120.0,1,60.0,0.0,0,False
UG,2025-12-19,1.0,Math,2.0,0.0,0.0,0.0,0,1,5,1,0,3.169381923396199,1.0,high,2.0,0,2.0,0.0,1,True
UG,2025-12-19,1.0,Coding,120.0,0.0,0.0,0.0,0,2,4,1,0,1.3393742654005831,0.7206193398236237,medium,120.0,1,120.0,0.0,0,False
UG,2025-12-19,,,,0.0,0.0,0.0,0,1,1,0,1,-1.0714472729082598,0.3525679221165153,low,0.0,0,0.0,0.0,-1,False
UG,2025-12-19,1.0,Coding,316.0,0.0,0.0,0.0,0,2,4,1,0,1.3393742654005831,0.7206193398236237,medium,316.0,1,316.0,0.0,0,False
UG,2025-12-19,3.0,Coding,150.0,0.0,0.0,0.0,0,4,4,1,0,-0.20022645243841886,0.48557405841261353,low,150.0,1,50.0,0.0,0,False
PG,2025-12-19,2.0,Coding,,0.0,0.0,0.0,0,1,3,1,1,1.0489673252439695,0.6762839610582576,medium,0.0,0,0.0,0.0,0,True
PG,2025-12-19,1.0,Coding,360.0,0.0,0.0,0.0,0,3,3,1,0,-0.49063339259503247,0.4412386796472475,low,360.0,1,360.0,0.0,0,False
PG,2025-12-19,,Coding,,0.0,0.0,0.0,0,3,4,1,1,0.5695739064810821,0.6030966991181186,medium,0.0,0,0.0,0.0,0,True
PG,2025-12-19,2.0,Coding,138.0,0.0,0.0,0.0,0,3,3,1,0,-0.49063339259503247,0.4412386796472475,low,138.0,1,69.0,0.0,0,False
UG,2025-12-20,,Other,0.0,0.0,0.0,0.0,0,4,2,1,0,-2.3206410505906483,0.16185801947087117,low,0.0,0,0.0,0.0,2,False
UG,2025-12-20,1.0,Coding,60.0,0.0,0.0,0.0,0,4,3,1,0,-1.2604337515145334,0.32371603894174233,low,60.0,0,60.0,0.0,0,False
